GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,GRE_x_CGPA,TOEFL_x_CGPA,GRE_x_TOEFL,Research_x_CGPA,SOP_x_LOR,UnivRating_x_CGPA,GRE_squared,CGPA_squared,TOEFL_squared,CGPA_cubed,GRE_sqrt,Academic_Score,Application_Strength,Profile_Strength,Test_Score_Avg,SOP_to_LOR_ratio,GRE_to_TOEFL_ratio,CGPA_Achievement,Test_Performance,CGPA_Category,GRE_Category,TOEFL_Category,High_Achiever,Mean_All_Scores,Score_Consistency,Total_Weighted_Score
328,119,5,5.0,5.0,9.63,0,0.84,3158.6400000000003,1145.97,39032,0.0,25.0,48.150000000000006,107584,92.73690000000002,14161,893.0563470000002,18.110770276274835,97.07637254901962,100.0,88.24582352941178,97.8186274509804,1.0,2.7563025210084033,0.9630000000000001,0.9125,3,3,3,1,0.9865620915032679,0.016637079158372495,123.405
318,96,3,1.0,1.0,7.23,0,0.34,2299.1400000000003,694.08,30528,0.0,1.0,21.69,101124,52.27290000000001,9216,377.93306700000005,17.832554500127006,81.65529411764707,28.000000000000004,57.393176470588244,86.76470588235294,1.0,3.3125,0.7230000000000001,0.5625,1,2,0,0,0.5763823529411766,0.31097750205120456,105.055
304,106,1,4.0,2.0,8.46,0,0.34,2571.84,896.7600000000001,32224,0.0,8.0,8.46,92416,71.57160000000002,11236,605.4957360000002,17.435595774162696,87.21745098039216,52.000000000000014,67.9304705882353,88.87254901960785,2.0,2.8679245283018866,0.8460000000000001,0.6000000000000001,2,0,2,0,0.6705751633986927,0.18530227449625955,109.56
332,108,2,4.5,1.0,8.08,0,0.52,2682.56,872.64,35856,0.0,4.5,16.16,110224,65.2864,11664,527.5141120000001,18.2208671582886,88.9964705882353,52.0,68.99788235294118,93.82352941176471,4.5,3.074074074074074,0.808,0.8,2,3,2,0,0.6974117647058824,0.28351905863450616,114.13000000000001
297,105,1,1.5,3.5,7.88,1,0.38,2340.36,827.4,31185,7.88,5.25,7.88,88209,62.0944,11025,489.30387199999996,17.233687939614086,83.9685294117647,43.99999999999999,73.58111764705882,87.42647058823529,0.42857142857142855,2.8285714285714287,0.788,0.54375,1,0,2,0,0.6227549019607843,0.21364202637244845,106.48
310,111,1,3.5,4.5,9.61,0,0.57,2979.1,1066.71,34410,0.0,15.75,9.61,96100,92.3521,12321,887.5036809999998,17.60681686165901,93.47676470588236,68.0,76.48605882352942,91.83823529411765,0.7777777777777778,2.7927927927927927,0.961,0.7,3,1,3,0,0.7662941176470589,0.09208039664535977,116.535
328,96,3,4.5,2.0,6.87,0,0.38,2253.36,659.52,31488,0.0,9.0,20.61,107584,47.1969,9216,324.242703,18.110770276274835,81.24470588235295,64.0,67.94682352941176,88.23529411764706,2.25,3.4166666666666665,0.687,0.625,0,3,0,0,0.7252843137254902,0.19877979470259777,108.045
308,103,5,1.0,4.5,8.87,0,0.48,2731.9599999999996,913.6099999999999,31724,0.0,4.5,44.349999999999994,94864,78.67689999999999,10609,697.8641029999998,17.549928774784245,88.6442156862745,64.00000000000001,72.38652941176471,88.21078431372548,0.2222222222222222,2.9902912621359223,0.8869999999999999,0.5874999999999999,2,1,1,0,0.7918692810457516,0.275609914005634,112.095
312,107,1,4.0,1.0,9.81,1,0.53,3060.7200000000003,1049.67,33384,9.81,4.0,9.81,97344,96.23610000000001,11449,944.0761410000001,17.663521732655695,93.6493137254902,44.00000000000001,79.38958823529411,90.4656862745098,4.0,2.9158878504672896,0.9810000000000001,0.6625000000000001,3,1,2,0,0.6650522875816994,0.2850301533115557,116.535
300,117,2,2.0,4.5,8.55,1,0.57,2565.0,1000.3500000000001,35100,8.55,9.0,17.1,90000,73.1025,13689,625.0263750000001,17.320508075688775,89.45735294117647,60.00000000000001,81.67441176470588,92.86764705882354,0.4444444444444444,2.5641025641025643,0.8550000000000001,0.7125,2,0,3,0,0.7353921568627452,0.205134827803215,112.225
300,117,4,4.5,2.5,9.72,1,0.6,2916.0,1137.24,35100,9.72,11.25,38.88,90000,94.47840000000001,13689,918.3300480000001,17.320508075688775,94.13735294117646,72.00000000000001,88.08241176470588,92.86764705882354,1.8,2.5641025641025643,0.9720000000000001,0.7125,3,0,3,0,0.8382254901960784,0.17690135816050465,117.07
313,107,1,5.0,1.5,6.96,1,0.44,2178.48,744.72,33491,6.96,7.5,6.96,97969,48.4416,11449,337.153536,17.69180601295413,82.35225490196078,56.00000000000001,76.21135294117647,90.61274509803921,3.3333333333333335,2.925233644859813,0.696,0.66875,0,1,2,0,0.6680424836601307,0.25155797095091764,107.51
325,112,1,5.0,3.0,8.11,0,0.51,2635.75,908.3199999999999,36400,0.0,15.0,8.11,105625,65.7721,12544,533.4117309999999,18.027756377319946,89.22921568627451,68.0,73.9375294117647,94.46078431372548,1.6666666666666667,2.9017857142857144,0.8109999999999999,0.80625,2,3,3,0,0.7500359477124183,0.14434139675034346,114.43499999999999
329,98,3,3.0,2.0,7.61,1,0.46,2503.69,745.7800000000001,32242,7.61,6.0,22.830000000000002,108241,57.9121,9604,440.71108100000004,18.138357147217054,84.72431372549019,52.0,76.43458823529411,89.21568627450979,1.5,3.357142857142857,0.761,0.65625,1,3,0,0,0.6908856209150326,0.19419391981441475,111.385
313,95,5,4.5,2.0,9.08,0,0.48,2842.04,862.6,29735,0.0,9.0,45.4,97969,82.4464,9025,748.6133120000001,17.69180601295413,88.33225490196077,72.0,74.59935294117646,85.61274509803921,2.25,3.294736842105263,0.908,0.51875,3,1,0,0,0.8200424836601307,0.19748575179163538,113.13
292,92,4,4.5,2.0,9.86,0,0.41,2879.12,907.1199999999999,26864,0.0,9.0,39.44,85264,97.21959999999999,8464,958.5852559999998,17.08800749063506,88.66549019607844,68.0,73.59929411764706,81.27450980392157,2.25,3.1739130434782608,0.986,0.35,3,0,0,0,0.7852483660130719,0.2037648260350745,110.96000000000001
311,96,2,2.5,4.0,7.6,1,0.34,2363.6,729.5999999999999,29856,7.6,10.0,15.2,96721,57.76,9216,438.97599999999994,17.635192088548397,82.41470588235295,60.00000000000001,77.44882352941177,85.73529411764707,0.625,3.2395833333333335,0.76,0.51875,1,1,0,0,0.6957843137254902,0.13755431767639534,107.94999999999999
291,114,4,4.5,3.0,8.84,1,0.57,2572.44,1007.76,33174,8.84,13.5,35.36,84681,78.1456,12996,690.807104,17.05872210923198,89.06588235294117,76.00000000000001,86.2395294117647,90.29411764705881,1.5,2.5526315789473686,0.884,0.61875,2,0,3,0,0.8316470588235293,0.12285583077619613,111.99
313,117,2,1.0,2.0,7.42,1,0.49,2322.46,868.14,36621,7.42,2.0,14.84,97969,55.0564,13689,408.518488,17.69180601295413,86.27558823529411,32.00000000000001,71.36535294117647,94.77941176470588,0.5,2.675213675213675,0.742,0.79375,1,1,3,0,0.6062647058823529,0.30075777053933683,109.12
333,101,5,3.5,3.5,8.56,1,0.63,2850.48,864.5600000000001,33633,8.56,12.25,42.800000000000004,110889,73.2736,10201,627.222016,18.24828759089466,89.56107843137255,76.0,86.53664705882353,91.05392156862744,1.0,3.297029702970297,0.8560000000000001,0.71875,2,3,1,0,0.8461797385620916,0.1057094844462118,117.46000000000001
319,113,2,2.0,4.0,8.25,1,0.57,2631.75,932.25,36047,8.25,8.0,16.5,101761,68.0625,12769,561.515625,17.86057109949175,89.37990196078431,56.00000000000001,80.42794117647058,93.99509803921569,0.5,2.8230088495575223,0.825,0.78125,2,2,3,0,0.7174836601307191,0.198994830873419,114.125
327,96,3,1.5,2.0,9.83,0,0.48,3214.41,943.6800000000001,31392,0.0,3.0,29.490000000000002,106929,96.6289,9216,949.862087,18.083141320025124,92.98176470588236,40.0,67.78905882352942,88.08823529411765,0.75,3.40625,0.983,0.61875,3,3,0,0,0.6741274509803921,0.28565698790767297,116.70500000000001
